Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,C000267-007S008P,Ethernet1/1/1,192.168.3.29/31,spine,C000267-009R601P,Ethernet3/8/1,192.168.3.28/31
l3leaf,C000267-007S008P,Ethernet2/1/1,192.168.3.31/31,spine,C000267-014R602P,Ethernet3/8/1,192.168.3.30/31
l3leaf,C000267-007S009P,Ethernet1/1/1,192.168.3.33/31,spine,C000267-009R601P,Ethernet3/9/1,192.168.3.32/31
l3leaf,C000267-007S009P,Ethernet2/1/1,192.168.3.35/31,spine,C000267-014R602P,Ethernet3/9/1,192.168.3.34/31
l3leaf,C000267-007S010P,Ethernet1/1/1,192.168.3.37/31,spine,C000267-009R601P,Ethernet3/10/1,192.168.3.36/31
l3leaf,C000267-007S010P,Ethernet2/1/1,192.168.3.39/31,spine,C000267-014R602P,Ethernet3/10/1,192.168.3.38/31
l3leaf,C000267-007S011P,Ethernet1/1/1,192.168.3.41/31,spine,C000267-009R601P,Ethernet3/11/1,192.168.3.40/31
l3leaf,C000267-007S011P,Ethernet2/1/1,192.168.3.43/31,spine,C000267-014R602P,Ethernet3/11/1,192.168.3.42/31
l3leaf,C000267-008S012P,Ethernet1/1/1,192.168.3.45/31,spine,C000267-009R601P,Ethernet3/12/1,192.168.3.44/31
l3leaf,C000267-008S012P,Ethernet2/1/1,192.168.3.47/31,spine,C000267-014R602P,Ethernet3/12/1,192.168.3.46/31
l3leaf,C000267-008S013P,Ethernet1/1/1,192.168.3.49/31,spine,C000267-009R601P,Ethernet3/13/1,192.168.3.48/31
l3leaf,C000267-008S013P,Ethernet2/1/1,192.168.3.51/31,spine,C000267-014R602P,Ethernet3/13/1,192.168.3.50/31
l3leaf,C000267-008S014P,Ethernet1/1/1,192.168.3.53/31,spine,C000267-009R601P,Ethernet3/14/1,192.168.3.52/31
l3leaf,C000267-008S014P,Ethernet2/1/1,192.168.3.55/31,spine,C000267-014R602P,Ethernet3/14/1,192.168.3.54/31
l3leaf,C000267-008S015P,Ethernet1/1/1,192.168.3.57/31,spine,C000267-009R601P,Ethernet3/15/1,192.168.3.56/31
l3leaf,C000267-008S015P,Ethernet2/1/1,192.168.3.59/31,spine,C000267-014R602P,Ethernet3/15/1,192.168.3.58/31
spine,C000267-009R601P,Ethernet3/1/1,192.168.3.0/31,l3leaf,C000267-GRDS001P,Ethernet53/1,192.168.3.1/31
spine,C000267-009R601P,Ethernet3/2/1,192.168.3.4/31,l3leaf,C000267-GRDS002P,Ethernet53/1,192.168.3.5/31
spine,C000267-009R601P,Ethernet3/3/1,192.168.3.8/31,l3leaf,C000267-GRDS003P,Ethernet53/1,192.168.3.9/31
spine,C000267-009R601P,Ethernet3/4/1,192.168.3.12/31,l3leaf,C000267-GRDS004P,Ethernet53/1,192.168.3.13/31
spine,C000267-009R601P,Ethernet3/5/1,192.168.3.16/31,l3leaf,C000267-GRDS005P,Ethernet53/1,192.168.3.17/31
spine,C000267-009R601P,Ethernet3/6/1,192.168.3.20/31,l3leaf,C000267-GRDS006P,Ethernet53/1,192.168.3.21/31
spine,C000267-009R601P,Ethernet3/7/1,192.168.3.24/31,l3leaf,C000267-GRDS007P,Ethernet53/1,192.168.3.25/31
spine,C000267-009R601P,Ethernet3/16/1,192.168.3.60/31,l3leaf,C000267-009S016P,Ethernet1/1/1,192.168.3.61/31
spine,C000267-009R601P,Ethernet3/17/1,192.168.3.64/31,l3leaf,C000267-009S017P,Ethernet1/1/1,192.168.3.65/31
spine,C000267-009R601P,Ethernet3/18/1,192.168.3.68/31,l3leaf,C000267-009S018P,Ethernet1/1/1,192.168.3.69/31
spine,C000267-009R601P,Ethernet3/19/1,192.168.3.72/31,l3leaf,C000267-009S019P,Ethernet1/1/1,192.168.3.73/31
spine,C000267-009R601P,Ethernet3/20/1,192.168.3.76/31,l3leaf,C000267-010S020P,Ethernet1/1/1,192.168.3.77/31
spine,C000267-009R601P,Ethernet3/21/1,192.168.3.80/31,l3leaf,C000267-010S021P,Ethernet1/1/1,192.168.3.81/31
spine,C000267-009R601P,Ethernet3/22/1,192.168.3.84/31,l3leaf,C000267-010S022P,Ethernet1/1/1,192.168.3.85/31
spine,C000267-009R601P,Ethernet3/23/1,192.168.3.88/31,l3leaf,C000267-010S023P,Ethernet1/1/1,192.168.3.89/31
spine,C000267-009R601P,Ethernet3/24/1,192.168.3.92/31,l3leaf,C000267-011S024P,Ethernet1/1/1,192.168.3.93/31
spine,C000267-009R601P,Ethernet3/25/1,192.168.3.96/31,l3leaf,C000267-011S025P,Ethernet1/1/1,192.168.3.97/31
spine,C000267-009R601P,Ethernet3/26/1,192.168.3.100/31,l3leaf,C000267-011S026P,Ethernet1/1/1,192.168.3.101/31
spine,C000267-009R601P,Ethernet3/27/1,192.168.3.104/31,l3leaf,C000267-011S027P,Ethernet1/1/1,192.168.3.105/31
spine,C000267-009R601P,Ethernet3/28/1,192.168.3.108/31,l3leaf,C000267-012S028P,Ethernet1/1/1,192.168.3.109/31
spine,C000267-009R601P,Ethernet3/29/1,192.168.3.112/31,l3leaf,C000267-012S029P,Ethernet1/1/1,192.168.3.113/31
spine,C000267-009R601P,Ethernet3/30/1,192.168.3.116/31,l3leaf,C000267-012S030P,Ethernet1/1/1,192.168.3.117/31
spine,C000267-009R601P,Ethernet3/31/1,192.168.3.120/31,l3leaf,C000267-012S031P,Ethernet1/1/1,192.168.3.121/31
spine,C000267-009R601P,Ethernet4/1/1,192.168.3.124/31,l3leaf,C000267-014S032P,Ethernet1/1/1,192.168.3.125/31
