Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
l3leaf,C000140-CCS-720XP,Ethernet1,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet2,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet3,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet4,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet5,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet6,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet7,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet8,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet9,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet10,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet11,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet12,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet13,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet14,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet15,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet16,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet17,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet18,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet19,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet20,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet21,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet22,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet23,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet24,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet25,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet26,network_port,Endpoint access port (Dot1x enabled),,True
l3leaf,C000140-CCS-720XP,Ethernet27,network_port,Endpoint access port (Dot1x enabled),,True
